Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Dissolved,Phosphorus Total Dissolved,Phosphorus Total,Vanadium Dissolved,Turbidity,pH,Oxygen dissolved % saturation,OXYGEN BIOCHEMICAL DEMAND,Site Name,Unit Symbol
2016-08-23 10:30:00,0.48,,7130.0,7290.0,0.45,0.54,0.025,0.925,0.625,0.784,346.0,6.0,0.011,0.04,0.88,7.75,,,NAMUR LAKE,µg/l
2016-08-23 10:30:00,,10.5,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2016-09-20 12:00:00,,8.7,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2016-09-20 12:00:00,0.73,,7360.0,7500.0,0.49,0.5,0.012,0.025,0.493,0.592,,11.0,0.019,0.03,1.3,7.44,,,NAMUR LAKE,µg/l
2017-03-14 12:00:00,,41.3,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2017-03-14 12:00:00,1.5,,10600.0,10800.0,0.38,0.57,0.017,0.05,0.75,0.911,,14.0,0.028,0.07,0.93,7.37,,,NAMUR LAKE,µg/l
2017-08-23 08:29:00,0.4,,7930.0,7890.0,0.3,0.29,0.02,0.017,0.62,0.64,283.0,9.0,0.014,0.048,0.315,7.64,,,NAMUR LAKE,µg/l
2017-08-23 08:29:00,,4.6,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2020-09-16 08:00:00,,6.4,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2020-09-16 08:00:00,1.3,,6850.0,7020.0,0.21,0.22,0.02,0.018,0.58,0.6,,5.0,0.011,0.044,0.44,6.27,92.3,,NAMUR LAKE,µg/l
2021-08-19 15:15:00,,7.0,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2021-08-19 15:15:00,1.3,,7000.0,,0.2,0.21,0.02,0.009,0.61,0.62,,3.0,0.012,0.038,0.71,6.42,99.8,,NAMUR LAKE,µg/l
2022-09-14 08:50:00,0.7,,7600.0,,0.24,0.23,0.02,0.01,0.6,0.6,,7.2,0.012,0.068,0.67,6.41,92.4,,NAMUR LAKE,µg/l
2022-09-14 08:50:00,,7.7,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
