ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDatetime,103999 ALUMINUM TOTAL RECOVERABLE ug/L,20107 CALCIUM DISSOLVED/FILTERED mg/L,20110 CALCIUM DISSOLVED/FILTERED mg/L,20111 CALCIUM DISSOLVED/FILTERED mg/L,80025 CALCIUM TOTAL RECOVERABLE mg/L,29009 COPPER TOTAL (CU) mg/L,80030 COPPER TOTAL RECOVERABLE ug/L,80041 LEAD TOTAL RECOVERABLE ug/L,28009 NICKEL TOTAL mg/L,80039 NICKEL TOTAL RECOVERABLE ug/L,7205 NITROGEN DISSOLVED NITRITE mg/L,7206 NITROGEN DISSOLVED NITRITE mg/L,7110 NITROGEN DISSOLVED NO3 & NO2 mg/L,7111 NITROGEN DISSOLVED NO3 & NO2 mg/L,7906 NITROGEN PARTICULATE TOTAL mg/L,100922 OXYGEN DISSOLVED (FIELD METER) mg/L,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,8102 OXYGEN DISSOLVED (FIELD METER) mg/L,8101 OXYGEN DISSOLVED (WINKLER) mg/L,10301 PH (LAB) pH units,15422 PHOSPHORUS TOTAL (P) mg/L,15114 PHOSPHORUS TOTAL DISSOLVED mg/L,2074 TURBIDITY NTU,23009 VANADIUM TOTAL mg/L,80055 VANADIUM TOTAL RECOVERABLE ug/L
ABS019,17SWE14744,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/24/2017 08:11:00,,,,,,,,,,,,,,,,,9.31,,,,,,,,
ABS019,17SWE14745,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/24/2017 08:12:00,,,,,,,,,,,,,,,,,9.27,,,,,,,,
ABS019,17SWE14746,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/24/2017 08:13:00,,,,,,,,,,,,,,,,,9.25,,,,,,,,
ABS019,17SWE14747,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/24/2017 08:14:00,,,,,,,,,,,,,,,,,9.29,,,,,,,,
ABS019,21SWE00889,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:48:00,,,,,,,,,,,,,,,,,8.7,,,,,,,,
ABS019,21SWE00890,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:49:00,,,,,,,,,,,,,,,,,8.69,,,,,,,,
ABS019,21SWE00891,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:50:00,,,,,,,,,,,,,,,,,8.67,,,,,,,,
ABS019,21SWE00892,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:51:00,,,,,,,,,,,,,,,,,8.68,,,,,,,,
ABS019,21SWE00893,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:52:00,,,,,,,,,,,,,,,,,8.68,,,,,,,,
ABS019,21SWE00894,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:53:00,,,,,,,,,,,,,,,,,8.65,,,,,,,,
ABS019,21SWE00895,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:54:00,,,,,,,,,,,,,,,,,8.65,,,,,,,,
ABS019,21SWE00896,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:55:00,,,,,,,,,,,,,,,,,8.67,,,,,,,,
ABS019,21SWE00897,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:56:00,,,,,,,,,,,,,,,,,8.67,,,,,,,,
ABS019,21SWE00898,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:57:00,,,,,,,,,,,,,,,,,8.65,,,,,,,,
ABS019,21SWE00899,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:58:00,,,,,,,,,,,,,,,,,8.68,,,,,,,,
ABS019,21SWE00900,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 08:59:00,,,,,,,,,,,,,,,,,8.61,,,,,,,,
ABS019,21SWE00901,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 09:00:00,,,,,,,,,,,,,,,,,8.63,,,,,,,,
ABS019,21SWE00902,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 09:01:00,,,,,,,,,,,,,,,,,8.61,,,,,,,,
ABS019,21SWE00903,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 09:02:00,,,,,,,,,,,,,,,,,8.6,,,,,,,,
ABS019,21SWE00904,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,06/18/2021 09:03:00,,,,,,,,,,,,,,,,,8.53,,,,,,,,
